WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000004:2 DISTRICT:000000010000000004:3
WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000007:2 DISTRICT:000000010000000007:3
WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000006:2 DISTRICT:000000010000000006:3
WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000002:2 DISTRICT:000000010000000002:3
WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:00000001000000000a:2 DISTRICT:00000001000000000a:3
CUSTOMER:0000000100000000030000000178:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000003:2 DISTRICT:000000010000000003:3
CUSTOMER:00000001000000000900000000f7:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000009:2 DISTRICT:000000010000000009:3
CUSTOMER:000000010000000009000000092c:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000009:2 DISTRICT:000000010000000009:3
CUSTOMER:000000010000000005000000012d:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000005:2 DISTRICT:000000010000000005:3
CUSTOMER:00000001000000000800000004ed:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000008:2 DISTRICT:000000010000000008:3
CUSTOMER:000000010000000003000000023f:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000003:2 DISTRICT:000000010000000003:3
CUSTOMER:00000001000000000300000008e0:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000003:2 DISTRICT:000000010000000003:3
CUSTOMER:000000010000000001000000042f:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000001:2 DISTRICT:000000010000000001:3
CUSTOMER:0000000100000000010000000076:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000001:2 DISTRICT:000000010000000001:3
CUSTOMER:000000010000000008000000081f:1 WAREHOUSE:00000001:1 WAREHOUSE:00000001:3 DISTRICT:000000010000000008:2 DISTRICT:000000010000000008:3
STOCK:00000001000000dbbb:1:o STOCK:00000001000000dbbb:1:p STOCK:00000001000000dbbb:1:q STOCK:00000001000001277f:1:c STOCK:00000001000001277f:1:j STOCK:00000001000001277f:1:n STOCK:00000001000001277f:1:o STOCK:00000001000001277f:1:p STOCK:00000001000001277f:1:q STOCK:00000001000000c72f:1:c STOCK:00000001000000c72f:1:j STOCK:00000001000000c72f:1:n STOCK:00000001000000c72f:1:o STOCK:00000001000000c72f:1:p STOCK:00000001000000c72f:1:q
STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q STOCK:0000000100000004bb:1:c STOCK:0000000100000004bb:1:e STOCK:0000000100000004bb:1:n STOCK:0000000100000004bb:1:o STOCK:0000000100000004bb:1:p STOCK:0000000100000004bb:1:q STOCK:000000010000005073:1:c STOCK:000000010000005073:1:e
STOCK:00000001000000c72f:1:j STOCK:00000001000000c72f:1:n STOCK:00000001000000c72f:1:o STOCK:00000001000000c72f:1:p STOCK:00000001000000c72f:1:q STOCK:00000001000001345f:1:c STOCK:00000001000001345f:1:j STOCK:00000001000001345f:1:n STOCK:00000001000001345f:1:o STOCK:00000001000001345f:1:p STOCK:00000001000001345f:1:q STOCK:00000001000000777a:1:c STOCK:00000001000000777a:1:j STOCK:00000001000000777a:1:n STOCK:00000001000000777a:1:o
STOCK:000000010000000f37:1:p STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q STOCK:0000000100000004bb:1:c STOCK:0000000100000004bb:1:e STOCK:0000000100000004bb:1:n STOCK:0000000100000004bb:1:o STOCK:0000000100000004bb:1:p STOCK:0000000100000004bb:1:q STOCK:000000010000005073:1:c
STOCK:00000001000000c72f:1:c STOCK:00000001000000c72f:1:j STOCK:00000001000000c72f:1:n STOCK:00000001000000c72f:1:o STOCK:00000001000000c72f:1:p STOCK:00000001000000c72f:1:q STOCK:00000001000001345f:1:c STOCK:00000001000001345f:1:j STOCK:00000001000001345f:1:n STOCK:00000001000001345f:1:o STOCK:00000001000001345f:1:p STOCK:00000001000001345f:1:q STOCK:00000001000000777a:1:c STOCK:00000001000000777a:1:j STOCK:00000001000000777a:1:n
STOCK:00000001000001277f:1:q STOCK:00000001000000c72f:1:c STOCK:00000001000000c72f:1:j STOCK:00000001000000c72f:1:n STOCK:00000001000000c72f:1:o STOCK:00000001000000c72f:1:p STOCK:00000001000000c72f:1:q STOCK:00000001000001345f:1:c STOCK:00000001000001345f:1:j STOCK:00000001000001345f:1:n STOCK:00000001000001345f:1:o STOCK:00000001000001345f:1:p STOCK:00000001000001345f:1:q STOCK:00000001000000777a:1:c STOCK:00000001000000777a:1:j
STOCK:000000010000000f37:1:o STOCK:000000010000000f37:1:p STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q STOCK:0000000100000004bb:1:c STOCK:0000000100000004bb:1:e STOCK:0000000100000004bb:1:n STOCK:0000000100000004bb:1:o STOCK:0000000100000004bb:1:p STOCK:0000000100000004bb:1:q
STOCK:00000001000001277f:1:p STOCK:00000001000001277f:1:q STOCK:00000001000000c72f:1:c STOCK:00000001000000c72f:1:j STOCK:00000001000000c72f:1:n STOCK:00000001000000c72f:1:o STOCK:00000001000000c72f:1:p STOCK:00000001000000c72f:1:q STOCK:00000001000001345f:1:c STOCK:00000001000001345f:1:j STOCK:00000001000001345f:1:n STOCK:00000001000001345f:1:o STOCK:00000001000001345f:1:p STOCK:00000001000001345f:1:q STOCK:00000001000000777a:1:c
STOCK:00000001000001277f:1:o STOCK:00000001000001277f:1:p STOCK:00000001000001277f:1:q STOCK:00000001000000c72f:1:c STOCK:00000001000000c72f:1:j STOCK:00000001000000c72f:1:n STOCK:00000001000000c72f:1:o STOCK:00000001000000c72f:1:p STOCK:00000001000000c72f:1:q STOCK:00000001000001345f:1:c STOCK:00000001000001345f:1:j STOCK:00000001000001345f:1:n STOCK:00000001000001345f:1:o STOCK:00000001000001345f:1:p STOCK:00000001000001345f:1:q
STOCK:000000010000000f37:1:n STOCK:000000010000000f37:1:o STOCK:000000010000000f37:1:p STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q STOCK:0000000100000004bb:1:c STOCK:0000000100000004bb:1:e STOCK:0000000100000004bb:1:n STOCK:0000000100000004bb:1:o STOCK:0000000100000004bb:1:p
STOCK:000000010000000f37:1:e STOCK:000000010000000f37:1:n STOCK:000000010000000f37:1:o STOCK:000000010000000f37:1:p STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q STOCK:0000000100000004bb:1:c STOCK:0000000100000004bb:1:e STOCK:0000000100000004bb:1:n STOCK:0000000100000004bb:1:o
STOCK:000000010000000f37:1:c STOCK:000000010000000f37:1:e STOCK:000000010000000f37:1:n STOCK:000000010000000f37:1:o STOCK:000000010000000f37:1:p STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q STOCK:0000000100000004bb:1:c STOCK:0000000100000004bb:1:e STOCK:0000000100000004bb:1:n
CUSTOMER:00000001000000000200000004ec:1:p STOCK:000000010000000f37:1:c STOCK:000000010000000f37:1:e STOCK:000000010000000f37:1:n STOCK:000000010000000f37:1:o STOCK:000000010000000f37:1:p STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q STOCK:0000000100000004bb:1:c STOCK:0000000100000004bb:1:e
CUSTOMER:00000001000000000200000004ec:1:n CUSTOMER:00000001000000000200000004ec:1:p STOCK:000000010000000f37:1:c STOCK:000000010000000f37:1:e STOCK:000000010000000f37:1:n STOCK:000000010000000f37:1:o STOCK:000000010000000f37:1:p STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q STOCK:0000000100000004bb:1:c
CUSTOMER:00000001000000000200000004ec:1:f CUSTOMER:00000001000000000200000004ec:1:n CUSTOMER:00000001000000000200000004ec:1:p STOCK:000000010000000f37:1:c STOCK:000000010000000f37:1:e STOCK:000000010000000f37:1:n STOCK:000000010000000f37:1:o STOCK:000000010000000f37:1:p STOCK:000000010000000f37:1:q STOCK:00000001000000205f:1:c STOCK:00000001000000205f:1:e STOCK:00000001000000205f:1:n STOCK:00000001000000205f:1:o STOCK:00000001000000205f:1:p STOCK:00000001000000205f:1:q
ITEM:00000f37:1:c ITEM:00000f37:1:d ITEM:00000f37:1:e ITEM:0000205f:1:c ITEM:0000205f:1:d ITEM:0000205f:1:e ITEM:000004bb:1:c ITEM:000004bb:1:d ITEM:000004bb:1:e ITEM:00005073:1:c ITEM:00005073:1:d ITEM:00005073:1:e ITEM:0000977b:1:c ITEM:0000977b:1:d ITEM:0000977b:1:e
ITEM:0001561d:1:d ITEM:0001561d:1:e ITEM:0000f576:1:c ITEM:0000f576:1:d ITEM:0000f576:1:e ITEM:00010d37:1:c ITEM:00010d37:1:d ITEM:00010d37:1:e ITEM:0001135f:1:c ITEM:0001135f:1:d ITEM:0001135f:1:e ITEM:0000ef0f:1:c ITEM:0000ef0f:1:d ITEM:0000ef0f:1:e WAREHOUSE:00000001:2:h
STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o STOCK:00000001000000b47e:1:p STOCK:00000001000000b47e:1:q STOCK:00000001000000b61a:1:c STOCK:00000001000000b61a:1:l STOCK:00000001000000b61a:1:n STOCK:00000001000000b61a:1:o STOCK:00000001000000b61a:1:p STOCK:00000001000000b61a:1:q
STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o STOCK:00000001000000b47e:1:p STOCK:00000001000000b47e:1:q STOCK:00000001000000b61a:1:c STOCK:00000001000000b61a:1:l STOCK:00000001000000b61a:1:n STOCK:00000001000000b61a:1:o STOCK:00000001000000b61a:1:p
STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o STOCK:00000001000000b47e:1:p STOCK:00000001000000b47e:1:q STOCK:00000001000000b61a:1:c STOCK:00000001000000b61a:1:l STOCK:00000001000000b61a:1:n STOCK:00000001000000b61a:1:o
STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o STOCK:00000001000000b47e:1:p STOCK:00000001000000b47e:1:q STOCK:00000001000000b61a:1:c STOCK:00000001000000b61a:1:l STOCK:00000001000000b61a:1:n
STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o STOCK:00000001000000b47e:1:p STOCK:00000001000000b47e:1:q STOCK:00000001000000b61a:1:c STOCK:00000001000000b61a:1:l
STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o STOCK:00000001000000b47e:1:p STOCK:00000001000000b47e:1:q STOCK:00000001000000b61a:1:c
STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o STOCK:00000001000000b47e:1:p STOCK:00000001000000b47e:1:q
STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o STOCK:00000001000000b47e:1:p
STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n STOCK:00000001000000b47e:1:o
STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l STOCK:00000001000000b47e:1:n
STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c STOCK:00000001000000b47e:1:l
STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q STOCK:00000001000000b47e:1:c
STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p STOCK:000000010000001f7e:1:q
STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o STOCK:000000010000001f7e:1:p
STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n STOCK:000000010000001f7e:1:o
STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l STOCK:000000010000001f7e:1:n
STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c STOCK:000000010000001f7e:1:l
STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q STOCK:000000010000001f7e:1:c
STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p STOCK:000000010000005175:1:q
STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o STOCK:000000010000005175:1:p
STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n STOCK:000000010000005175:1:o
ITEM:00002d1d:1:d ITEM:00002d1d:1:e ITEM:0000cafe:1:c ITEM:0000cafe:1:d ITEM:0000cafe:1:e ITEM:00016337:1:c ITEM:00016337:1:d ITEM:00016337:1:e ITEM:000136ff:1:c ITEM:000136ff:1:d ITEM:000136ff:1:e ITEM:000081bd:1:c ITEM:000081bd:1:d ITEM:000081bd:1:e ITEM:0000d76e:1:c
STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l STOCK:000000010000005175:1:n
STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c STOCK:000000010000005175:1:l
STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q STOCK:000000010000005175:1:c
STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p STOCK:00000001000001436b:1:q
STOCK:000000010000002577:1:n STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o STOCK:00000001000001436b:1:p
STOCK:000000010000002577:1:l STOCK:000000010000002577:1:n STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n STOCK:00000001000001436b:1:o
STOCK:000000010000002577:1:c STOCK:000000010000002577:1:l STOCK:000000010000002577:1:n STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l STOCK:00000001000001436b:1:n
STOCK:000000010000004f5f:1:q STOCK:000000010000002577:1:c STOCK:000000010000002577:1:l STOCK:000000010000002577:1:n STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c STOCK:00000001000001436b:1:l
STOCK:000000010000004f5f:1:p STOCK:000000010000004f5f:1:q STOCK:000000010000002577:1:c STOCK:000000010000002577:1:l STOCK:000000010000002577:1:n STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q STOCK:00000001000001436b:1:c
STOCK:000000010000004f5f:1:o STOCK:000000010000004f5f:1:p STOCK:000000010000004f5f:1:q STOCK:000000010000002577:1:c STOCK:000000010000002577:1:l STOCK:000000010000002577:1:n STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p STOCK:0000000100000082ee:1:q
STOCK:000000010000004f5f:1:n STOCK:000000010000004f5f:1:o STOCK:000000010000004f5f:1:p STOCK:000000010000004f5f:1:q STOCK:000000010000002577:1:c STOCK:000000010000002577:1:l STOCK:000000010000002577:1:n STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o STOCK:0000000100000082ee:1:p
DISTRICT:000000010000000007:1:i DISTRICT:000000010000000007:1:k CUSTOMER:00000001000000000700000008a8:1:f CUSTOMER:00000001000000000700000008a8:1:n CUSTOMER:00000001000000000700000008a8:1:p STOCK:00000001000000028e:1:c STOCK:00000001000000028e:1:j STOCK:00000001000000028e:1:n STOCK:00000001000000028e:1:o STOCK:00000001000000028e:1:p STOCK:00000001000000028e:1:q STOCK:000000010000016f75:1:c STOCK:000000010000016f75:1:j STOCK:000000010000016f75:1:n STOCK:000000010000016f75:1:o
STOCK:000000010000004f5f:1:l STOCK:000000010000004f5f:1:n STOCK:000000010000004f5f:1:o STOCK:000000010000004f5f:1:p STOCK:000000010000004f5f:1:q STOCK:000000010000002577:1:c STOCK:000000010000002577:1:l STOCK:000000010000002577:1:n STOCK:000000010000002577:1:o STOCK:000000010000002577:1:p STOCK:000000010000002577:1:q STOCK:0000000100000082ee:1:c STOCK:0000000100000082ee:1:l STOCK:0000000100000082ee:1:n STOCK:0000000100000082ee:1:o
